year,title,Actual,womenonly,menonly,genderweighted
2004,The Notebook,> 250,63,452,247
1976,Rocky,220,442,132,248
2013,About Time,> 250,189,269,249
1977,Annie Hall,233,289,218,250
2003,Mystic River,> 250,245,219,251
2011,The Girl With the Dragon Tattoo,> 250,216,222,252
1992,Scent of a Woman,> 250,276,255,253
2007,Atonement,> 250,139,366,254
2011,The Artist,> 250,197,325,255
2014,Big Hero 6,> 250,129,462,256
1986,Platoon,187,490,176,257
1984,Nausicaa of the Valley of the Wind,213,378,301,258
1973,The Exorcist,> 250,309,178,259
1925,The Gold Rush,136,684,306,260
1953,Roman Holiday,> 250,206,426,261
1982,The Thing,163,528,146,262
1984,The Terminator,229,318,150,263
1985,The Breakfast Club,> 250,137,391,264
2007,Persepolis,> 250,291,477,265
2004,Before Sunset,> 250,263,240,266
1959,Ben-Hur,195,481,227,267
1961,Judgment at Nuremberg,134,752,375,268
2013,The Hunger Games: Catching Fire,> 250,83,525,269
2004,The Incredibles,> 250,222,208,270
2000,Remember the Titans,> 250,312,346,271
2001,Shrek,> 250,143,323,272
1934,It Happened One Night,184,366,424,273
2001,Harry Potter and the Sorcerer’s Stone,> 250,88,530,274
2006,Casino Royale,> 250,282,200,275
2014,Edge of Tomorrow,> 250,293,203,276
2014,How to Train Your Dragon 2,> 250,186,395,277
1941,The Maltese Falcon,216,541,271,278
2014,Birdman or (The Unexpected Virtue of Ignorance),> 250,299,168,279
1974,Young Frankenstein,> 250,443,334,280
1957,Wild Strawberries,152,609,329,281
2001,Ocean’s Eleven,> 250,221,262,282
2004,Shaun of the Dead,> 250,233,261,283
1967,The Graduate,> 250,285,254,284
2006,The Fall,> 250,223,594,285
1995,La Haine,231,561,276,286
2006,Little Miss Sunshine,> 250,149,349,287
2003,Dogville,> 250,328,365,288
2015,The Hateful Eight,> 250,411,171,289
2005,Pride & Prejudice,> 250,68,754,290
2014,Nightcrawler,> 250,380,173,291
1990,Dances With Wolves,> 250,375,264,292
1986,Castle in the Sky,250,379,310,293
2010,Tangled,> 250,93,599,294
1999,The Iron Giant,> 250,418,312,295
2000,In the Mood for Love,240,358,423,296
2016,Hidden Figures,> 250,180,651,297
2008,Yip Man,> 250,744,214,298
1951,Strangers on a Train,> 250,478,371,299
1948,Rope,> 250,503,369,300
2009,Moon,> 250,350,284,301
2016,Manchester by the Sea,> 250,427,243,302
1951,A Streetcar Named Desire,> 250,348,448,303
1986,Ferris Bueller’s Day Off,> 250,255,303,304
2001,Mulholland Drive,> 250,349,242,305
2014,Captain America: The Winter Soldier,> 250,204,316,306
2009,District 9,> 250,324,193,307
1982,Blade Runner,149,341,197,308
1999,Magnolia,> 250,444,194,309
1985,Brazil,> 250,554,287,310
2002,The Bourne Identity,> 250,298,256,311
2002,Hero,> 250,492,355,312
2005,Cinderella Man,> 250,495,286,313
2000,"Crouching Tiger, Hidden Dragon",> 250,354,313,314
1999,Toy Story 2,> 250,249,266,315
2013,Star Trek: Into Darkness,> 250,191,417,316
1968,Rosemary’s Baby,> 250,343,304,317
1946,Notorious,> 250,500,450,318
1976,Network,191,720,273,319
2016,Rogue One,> 250,283,337,320
1997,Children of Heaven,128,678,519,321
2007,Hot Fuzz,> 250,259,331,322
1983,A Christmas Story,> 250,415,377,323
2004,Crash,> 250,226,336,324
2010,Harry Potter and the Deathly Hallows: Part 1,> 250,104,696,325
1995,Dilwale Dulhania Le Jayenge,> 250,902,437,326
2013,Captain Phillips,> 250,270,340,327
2005,Walk the Line,> 250,224,418,328
2017,Guardians of the Galaxy Vol. 2,> 250,241,446,329
2007,Elite Squad,> 250,974,307,330
1982,E.T. the Extra-Terrestrial,> 250,246,370,331
2000,Dancer in the Dark,> 250,400,447,332
1966,Persona,196,548,400,333
2009,The Girl With the Dragon Tattoo,> 250,269,412,334
2008,Let the Right One In,> 250,384,270,335
2014,Boyhood,> 250,335,238,336
2012,Barfi!,> 250,877,440,337
2009,Mr. Nobody,> 250,253,434,338
1993,True Romance,> 250,557,280,339
2010,My Name Is Khan,> 250,535,517,340
2009,The Hangover,> 250,258,247,341
1926,The General,153,891,381,342
2012,Moonrise Kingdom,> 250,232,386,343
2012,Les Miserables,> 250,168,499,344
1979,Stalker,197,767,347,345
2017,Baby Driver,> 250,389,305,346
2012,Silver Linings Playbook,> 250,237,251,347
2016,Contratiempo,> 250,589,561,348
2004,The Sea Inside,> 250,428,507,349
2006,Apocalypto,> 250,364,373,350
1959,The 400 Blows,200,637,374,351
2017,Get Out,> 250,344,314,352
1988,Akira,> 250,882,267,353
1964,Fistful of Dollars,> 250,950,278,354
2009,The Blind Side,> 250,198,488,355
2008,Taken,> 250,257,315,356
2008,The Curious Case of Benjamin Button,> 250,211,320,357
2007,The Diving Bell and the Butterfly,> 250,432,397,358
2011,Drive,> 250,361,207,359
2003,"Spring, Summer, Fall, Winter… and Spring",> 250,572,416,360
1987,The Untouchables,> 250,604,300,361
1944,Arsenic and Old Lace,> 250,464,617,362
1996,Sling Blade,> 250,715,464,363
2008,The Boy in the Striped Pajamas,> 250,207,601,364
2002,Talk to Her,> 250,394,430,365
1979,Manhattan,> 250,508,359,366
2013,Short Term 12,> 250,474,529,367
2015,Straight Outta Compton,> 250,513,459,368
2010,Despicable Me,> 250,145,543,369
2000,Almost Famous,> 250,320,322,370
1982,Pink Floyd: The Wall,> 250,656,510,371
2006,Children of Men,> 250,355,263,372
2014,Ex Machina,> 250,362,272,373
1997,Boogie Nights,> 250,660,213,374
2013,Queen,> 250,1005,484,375
1973,Papillon,> 250,831,354,376
2010,Elite Squad: The Enemy Within,> 250,1116,352,377
2014,The Theory of Everything,> 250,173,591,378
1940,The Philadelphia Story,> 250,393,766,379
1940,The Grapes of Wrath,221,728,403,380
1971,Harold and Maude,> 250,436,685,381
2016,Captain Fantastic,> 250,363,505,382
1993,What’s Eating Gilbert Grape,> 250,202,574,383
2003,Memories of Murder,199,916,330,384
2009,Avatar,> 250,228,296,385
2002,Infernal Affairs,243,875,292,386
1994,Three Colors: Red,> 250,644,415,387
1976,All the President’s Men,> 250,755,420,388
2016,The Handmaiden,246,595,549,389
1955,The Night of the Hunter,> 250,737,471,390
1995,Underground,> 250,751,541,391
1990,The Godfather: Part III,> 250,440,358,392
1984,"Paris, Texas",244,736,455,393
2010,The Fighter,> 250,452,283,394
1966,Who’s Afraid of Virginia Woolf?,> 250,537,565,395
2014,The Fault in Our Stars,> 250,187,513,396
2005,Brokeback Mountain,> 250,162,611,397
2007,Chak de! India,> 250,1278,317,398
2006,Lucky Number Slevin,> 250,416,363,399
1991,JFK,> 250,847,324,400
1998,The Legend of 1900,242,608,607,401
2017,The Greatest Showman,> 250,272,972,402
2000,"O Brother, Where Art Thou?",> 250,401,387,403
2010,The Social Network,> 250,414,201,404
1997,Gattaca,> 250,356,390,405
2012,Argo,> 250,243,409,406
1993,Groundhog Day,230,457,210,407
1962,The Manchurian Candidate,> 250,849,506,408
1984,This Is Spinal Tap,> 250,762,348,409
2013,Frozen,> 250,130,692,410
1990,Misery,> 250,402,466,411
2007,The Man From Earth,> 250,764,290,412
1968,Planet of the Apes,> 250,789,294,413
2000,Cast Away,> 250,314,328,414
1998,"Black Cat, White Cat",> 250,676,605,415
1971,Willy Wonka & the Chocolate Factory,> 250,333,496,416
1985,Ran,133,1207,234,417
2008,Changeling,> 250,296,405,418
2006,Rang De Basanti,180,1218,236,419
1989,Glory,> 250,768,427,420
1989,Back to the Future Part II,> 250,374,338,421
2004,The Bourne Supremacy,> 250,413,333,422
2006,Letters From Iwo Jima,> 250,791,364,423
1952,High Noon,> 250,890,407,424
1997,The Fifth Element,> 250,247,546,425
2017,Wonder Woman,> 250,196,706,426
1995,Ghost in the Shell,> 250,917,361,427
1961,Yojimbo,113,1281,235,428
2015,Bahubali: The Beginning,> 250,1491,393,429
2007,Zodiac,> 250,435,275,430
1990,Awakenings,> 250,467,559,431
1993,Three Colors: Blue,> 250,552,603,432
1950,Harvey,> 250,645,680,433
2014,Fury,> 250,449,341,434
1993,Philadelphia,> 250,277,644,435
1998,The Celebration,> 250,785,404,436
1946,The Big Sleep,> 250,750,489,437
1987,Wings of Desire,> 250,622,638,438
2016,Hunt for the Wilderpeople,> 250,605,701,439
1994,Chungking Express,> 250,712,600,440
2012,Kahaani,> 250,1212,478,441
1958,Touch of Evil,228,1008,356,442
2004,Finding Neverland,> 250,240,570,443
2004,The Machinist,> 250,330,438,444
1987,Empire of the Sun,> 250,530,668,445
2012,Wreck-It Ralph,> 250,281,458,446
1968,Night of the Living Dead,> 250,837,385,447
1993,Carlito’s Way,> 250,876,326,448
1996,The Bandit,171,1181,362,449
1997,The Game,> 250,441,367,450
1946,The Best Years of Our Lives,239,772,604,451
2004,Man on Fire,> 250,406,444,452
2014,The Lego Movie,> 250,397,380,453
1964,Mary Poppins,> 250,234,806,454
1959,Anatomy of a Murder,> 250,864,515,455
1999,Being John Malkovich,> 250,392,383,456
2015,The Big Short,> 250,515,299,457
2008,The Wrestler,> 250,621,289,458
1954,La Strada,> 250,748,623,459
1999,All About My Mother,> 250,405,712,460
2007,3:10 to Yuma,> 250,511,456,461
1975,Barry Lyndon,225,991,281,462
2009,Fantastic Mr. Fox,> 250,423,445,463
1922,Nosferatu,> 250,716,468,464
2017,Wonder,> 250,577,862,465
2006,The Last King of Scotland,> 250,455,535,466
1980,The Blues Brothers,> 250,687,372,467
2012,Skyfall,> 250,295,401,468
1997,As Good as It Gets,> 250,367,396,469
1955,Diabolique,223,910,534,470
2016,Kubo and the Two Strings,> 250,600,616,471
1972,Solaris,> 250,996,429,472
2013,Before Midnight,> 250,453,449,473
1989,Kiki’s Delivery Service,> 250,357,674,474
1994,Ed Wood,> 250,545,384,475
1960,La Dolce Vita,> 250,793,512,476
1993,The Fugitive,> 250,569,392,477
1967,Bonnie and Clyde,> 250,648,501,478
1996,Primal Fear,> 250,426,578,479
2002,Harry Potter and the Chamber of Secrets,> 250,142,831,480
1999,The Insider,> 250,863,378,481
2004,3-Iron,> 250,651,719,482
1965,Doctor Zhivago,> 250,714,577,483
1927,Sunrise,164,995,633,484
2009,Zombieland,> 250,329,414,485
2001,Lagaan: Once Upon a Time in India,249,1190,293,486
1993,Tombstone,> 250,794,526,487
2008,Departures,> 250,731,613,488
2009,(500) Days of Summer,> 250,310,345,489
1969,Midnight Cowboy,> 250,818,502,490
1961,Breakfast at Tiffany’s,> 250,210,802,491
2007,Harry Potter and the Order of the Phoenix,> 250,147,837,492
2004,The Butterfly Effect,> 250,303,428,493
2003,21 Grams,> 250,410,500,494
2016,Doctor Strange,> 250,287,556,495
2009,Harry Potter and the Half-Blood Prince,> 250,160,846,496
1953,Stalag 17,> 250,1059,642,497
1962,What Ever Happened to Baby Jane?,> 250,585,793,498
2007,Once,> 250,463,487,499
2013,Mandariinid,> 250,666,865,500
